Code,Symbol,RateToUSD,TaxRate,Volatility,allowedCountries
BTC,₿,105767.0,0.02,1.35,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Bahamas,Austria,GB"
ETH,Ξ,2513.24,0.02,1.4,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Bahamas,Austria,GB"
USDT,₮,1.0,0.02,0.05,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,Canada,Japan,Singapore,Australia,GB"
XRP,✕,2.28,0.02,1.5,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,Germany,France,Switzerland,Spain,Japan,Australia,GB"
BNB,B,643.43,0.02,1.3,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,Germany,France,Switzerland,Japan,Australia,GB"
SOL,◎,95.0,0.02,1.5,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
USDC,$,1.0,0.02,0.05,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,Canada,Japan,Singapore,Australia,GB"
DOGE,Ð,0.3,0.02,2.0,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
TRX,⧫,0.18,0.02,1.6,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
ADA,₳,0.95,0.02,1.6,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
